age,productivity
20,0.575063314
21,0.607313066
22,0.638927461
23,0.669806772
24,0.699851274
25,0.728961242
26,0.757036948
27,0.783978668
28,0.809756675
29,0.834621237
30,0.858892623
31,0.882891101
32,0.906936939
33,0.931269488
34,0.955804429
35,0.980376524
36,1.004820537
37,1.028971231
38,1.052696969
39,1.076000512
40,1.098918221
41,1.121486457
42,1.143741581
43,1.165593235
44,1.186444197
45,1.205570523
46,1.222248272
47,1.235753501
48,1.245715819
49,1.25317903
50,1.259540487
51,1.266197544
52,1.274547555
53,1.284662383
54,1.291311929
55,1.2879406
56,1.267992806
57,1.224912956
58,1.154889058
59,1.065083515
60,0.965402326
61,0.865751495
62,0.776037022
63,0.704042287
64,0.649060188
